Time	Scan #	10.00 nm	14.00 nm	19.00 nm	27.00 nm	37.00 nm	52.00 nm	72.00 nm	100.00 nm	139.00 nm	193.00 nm	274.58 nm	323.88 nm	381.74 nm	449.48 nm	530.18 nm	625.38 nm	737.02 nm	867.18 nm	1021.47 nm	1205.86 nm	1424.96 nm	1679.58 nm	1978.13 nm	2332.27 nm	2745.80 nm	3238.77 nm	3817.43 nm	4499.40 nm	5307.20 nm	6253.83 nm	7370.21 nm	8685.62 nm	10240.20 nm	12069.47 nm	14226.56 nm	16773.33 nm	19768.32 nm	23301.03 nm	27467.18 nm	32375.50 nm	38162.42 nm	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolar [ug/m3]	pm10 [ug/m3]	pm2.5 [ug/m3]	pm1 [ug/m3]	ID:N	Meas_Nr	Ic[nA]	HV[V]	Um[V]	RH[%]	T[0C]	Err0	Err1	Loc	GF	Err2	Qbatt	Im	Sensor Ue4	Sensor Ue3	Sensor Ue2 (RH [%])	Sensor Ue1 (T [°C])	Iv	ID:M	Ivv Dev	LV Error
2023/02/02 06:00:44	1	5.787251E+3	8.070842E+3	1.007647E+4	1.402742E+4	1.846404E+4	2.376446E+4	2.276977E+4	1.658080E+4	9.235065E+3	3.550260E+3	1.596523E+3	6.485875E+2	3.097462E+2	1.740281E+2	6.360876E+1	3.226155E+1	1.053072E+1	4.711737E+0	2.077703E+0	8.339319E-1	1.505604E+0	7.886470E-1	1.174567E+0	7.781324E-1	6.470148E-1	4.700911E-1	4.257875E-1	1.936148E-1	1.546820E-1	4.198900E-2	2.808192E-2	1.400135E-2	4.190348E-2	0.000000E+0	0.000000E+0	0.000000E+0	1.402136E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.385421E+1	2.677213E+1	2.069907E+1	2.620491E+1	1.682880E+1	1.445200E+1	N	20	2.501	3077	5.05	24.4	20.8	0	0	1	20	0	130	40			0	0.0	0	Mc	5.533915E+2	0
2023/02/02 06:01:44	2	2.484052E+4	3.166615E+4	3.200553E+4	2.873552E+4	2.706509E+4	2.613813E+4	2.323285E+4	1.642364E+4	9.111564E+3	3.491002E+3	1.743297E+3	7.241478E+2	3.313762E+2	1.887300E+2	6.258102E+1	3.527076E+1	1.284748E+1	4.711737E+0	2.216216E+0	1.111909E+0	1.163421E+0	9.320374E-1	7.600142E-1	9.903503E-1	7.314081E-1	2.626980E-1	1.987008E-1	2.351037E-1	2.953021E-1	6.998166E-2	9.828670E-2	7.000673E-2	4.190348E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.307519E+1	3.140514E+1	2.210167E+1	3.224425E+1	1.778733E+1	1.558370E+1	N	30	2.504	3075	5.05	23.5	20.8	0	0	1	20	0	130	40			0	0.0	0	Mc	6.011067E+2	0
2023/02/02 06:02:44	3	1.199077E+4	1.588993E+4	1.773295E+4	2.026218E+4	2.366204E+4	2.802270E+4	2.634327E+4	1.904475E+4	1.059736E+4	4.070677E+3	1.929187E+3	8.167281E+2	3.813637E+2	2.030118E+2	6.720585E+1	3.576063E+1	1.228584E+1	5.497026E+0	2.701013E+0	2.015336E+0	1.916223E+0	1.433904E+0	9.672908E-1	9.196110E-1	9.001945E-1	6.774843E-1	1.845079E-1	1.797852E-1	1.546820E-1	1.819523E-1	1.123277E-1	2.800269E-2	5.587131E-2	2.810311E-2	0.000000E+0	1.400924E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.304265E+1	3.652654E+1	2.457039E+1	3.576649E+1	1.999102E+1	1.713338E+1	N	40	2.503	3074	5.05	22.9	20.9	0	0	1	20	0	130	40			0	0.0	0	Mc	6.570542E+2	0
2023/02/02 06:03:44	4	2.552186E+2	1.307000E+3	4.038004E+3	1.067653E+4	1.749147E+4	2.529174E+4	2.481192E+4	1.822587E+4	1.016282E+4	3.910683E+3	1.837339E+3	7.765076E+2	3.581015E+2	2.078845E+2	6.841414E+1	4.289876E+1	1.256666E+1	6.139536E+0	3.532094E+0	1.389887E+0	1.437167E+0	7.169519E-1	1.381844E+0	7.073931E-1	6.751459E-1	7.051367E-1	2.270867E-1	1.659556E-1	5.624801E-2	1.399633E-1	4.212287E-2	2.800269E-2	1.396783E-2	1.405155E-2	1.395533E-2	1.400924E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.688793E+1	3.045213E+1	2.280014E+1	2.889215E+1	1.914498E+1	1.661368E+1	N	50	2.499	3073	5.05	22.5	20.9	0	0	1	20	0	130	40			0	0.0	0	Mc	5.810026E+2	0
2023/02/02 06:04:44	5	1.814697E+3	3.162631E+3	5.547184E+3	1.108080E+4	1.686968E+4	2.355875E+4	2.295721E+4	1.682226E+4	9.377186E+3	3.607397E+3	1.725673E+3	7.249082E+2	3.451150E+2	2.030398E+2	6.817804E+1	3.869986E+1	1.467280E+1	6.996215E+0	3.878378E+0	1.876347E+0	1.094984E+0	1.218818E+0	8.291064E-1	5.659145E-1	6.470148E-1	3.180028E-1	1.561221E-1	5.531852E-2	8.437202E-2	9.797432E-2	1.404096E-2	2.800269E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.376563E+1	2.345027E+1	2.032013E+1	2.374234E+1	1.793286E+1	1.588096E+1	N	60	2.499	3073	5.05	22.2	21.0	0	0	1	20	0	130	40			0	0.0	0	Mc	5.512229E+2	0
2023/02/02 06:05:44	6	2.485452E+2	1.272824E+3	3.932418E+3	1.039736E+4	1.703410E+4	2.463041E+4	2.416313E+4	1.774929E+4	9.897078E+3	3.808425E+3	1.782399E+3	7.488414E+2	3.581583E+2	2.151094E+2	6.808082E+1	4.205898E+1	1.305809E+1	7.638725E+0	3.185811E+0	2.362807E+0	1.779350E+0	8.603422E-1	9.672908E-1	8.488717E-1	4.641628E-1	3.871339E-1	2.554725E-1	1.382963E-1	1.124960E-1	5.598533E-2	4.212287E-2	1.400135E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.509822E+1	2.483424E+1	2.163926E+1	2.508657E+1	1.869525E+1	1.641150E+1	N	70	2.501	3073	5.05	22.0	21.0	0	0	1	20	0	130	40			0	0.0	0	Mc	5.777362E+2	0
2023/02/02 06:06:44	7	1.415307E+4	1.849536E+4	1.994832E+4	2.116647E+4	2.336987E+4	2.644838E+4	2.458528E+4	1.769647E+4	9.841451E+3	3.778457E+3	1.863192E+3	7.390109E+2	3.458672E+2	2.053361E+2	6.433096E+1	3.520077E+1	1.319850E+1	5.282857E+0	2.562500E+0	1.945841E+0	1.437167E+0	1.003733E+0	8.291064E-1	5.659145E-1	6.610804E-1	3.594815E-1	2.696654E-1	2.904222E-1	1.968680E-1	1.399633E-1	5.616383E-2	4.200404E-2	1.396783E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.089671E+1	3.005309E+1	2.329781E+1	3.060420E+1	1.904545E+1	1.686765E+1	N	80	2.502	3071	5.05	21.6	21.0	0	0	1	20	0	130	40			0	0.0	0	Mc	6.157021E+2	0
2023/02/02 06:07:44	8	2.522572E+2	1.291834E+3	3.991150E+3	1.055265E+4	1.728851E+4	2.499827E+4	2.452402E+4	1.801439E+4	1.004490E+4	3.865306E+3	1.835567E+3	7.315310E+2	3.388275E+2	2.115389E+2	6.424763E+1	3.716026E+1	1.221563E+1	4.426177E+0	2.908784E+0	1.598370E+0	1.710913E+0	8.603422E-1	7.600142E-1	7.073931E-1	9.986533E-1	6.083532E-1	4.115946E-1	1.382963E-1	2.390541E-1	1.399633E-1	5.616383E-2	5.600538E-2	1.396783E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.230706E+1	3.135807E+1	2.404661E+1	3.200290E+1	1.922278E+1	1.664929E+1	N	90	2.499	3071	5.05	21.4	21.0	0	0	1	20	0	130	40			0	0.0	0	Mc	5.836083E+2	0
2023/02/02 06:08:44	9	2.308624E+4	2.951725E+4	3.007558E+4	2.763073E+4	2.668674E+4	2.652079E+4	2.378061E+4	1.687195E+4	9.364858E+3	3.589555E+3	1.926838E+3	7.719035E+2	3.593505E+2	2.050561E+2	6.762250E+1	3.827997E+1	1.263686E+1	6.210926E+0	3.809121E+0	1.806853E+0	1.437167E+0	1.433904E+0	1.243660E+0	6.366538E-1	6.329493E-1	5.530484E-1	2.270867E-1	3.319111E-1	1.687440E-1	4.198900E-2	2.808192E-2	4.200404E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.890644E+1	2.847390E+1	2.407541E+1	2.887150E+1	2.004439E+1	1.744055E+1	N	100	2.504	3069	5.05	21.2	21.0	0	0	1	20	0	130	40			0	0.0	0	Mc	6.126625E+2	0
2023/02/02 06:09:44	10	2.913713E+4	3.684089E+4	3.639851E+4	3.050693E+4	2.644232E+4	2.294851E+4	1.967937E+4	1.370026E+4	7.584835E+3	2.900843E+3	1.664544E+3	6.854205E+2	3.126700E+2	1.895001E+2	6.302545E+1	3.590059E+1	1.291768E+1	6.068146E+0	2.701013E+0	1.667864E+0	1.437167E+0	1.362209E+0	1.243660E+0	9.196110E-1	5.204250E-1	4.424387E-1	2.554725E-1	1.659556E-1	1.546820E-1	1.259670E-1	8.424575E-2	2.800269E-2	2.793566E-2	1.405155E-2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.101940E+1	2.921804E+1	2.151427E+1	2.946541E+1	1.768835E+1	1.517084E+1	N	110	2.502	3069	5.05	20.8	20.9	0	0	1	20	0	130	39			0	0.0	0	Mc	5.259575E+2	0
